starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 12 17:01:33 2021	1636707693	0	497	497	497
Fri Nov 12 17:01:50 2021	1636707710	0	497	497	497
Fri Nov 12 17:01:32 2021	1636707692	0	498	498	497
Fri Nov 12 17:01:32 2021	1636707692	0	500	500	499
Fri Nov 12 17:01:42 2021	1636707702	0	501	501	500
Fri Nov 12 17:01:41 2021	1636707701	0	501	501	500
Fri Nov 12 17:01:32 2021	1636707692	0	501	501	500
Fri Nov 12 17:01:40 2021	1636707700	0	502	502	496
Fri Nov 12 17:01:32 2021	1636707692	0	502	502	501
Fri Nov 12 17:01:47 2021	1636707707	0	502	502	502
Fri Nov 12 17:01:34 2021	1636707694	0	503	503	502
Fri Nov 12 17:01:41 2021	1636707701	0	503	503	502
Fri Nov 12 17:01:40 2021	1636707700	0	503	503	503
Fri Nov 12 17:01:32 2021	1636707692	0	504	504	503
Fri Nov 12 17:01:32 2021	1636707692	6	499	505	492
Fri Nov 12 17:01:42 2021	1636707702	0	506	506	506
Fri Nov 12 17:01:50 2021	1636707710	0	507	507	506
Fri Nov 12 17:01:34 2021	1636707694	0	507	507	507
Fri Nov 12 17:01:50 2021	1636707710	0	508	508	507
Fri Nov 12 17:01:36 2021	1636707696	0	508	508	508
Fri Nov 12 17:01:33 2021	1636707693	0	509	509	508
Fri Nov 12 17:01:47 2021	1636707707	0	509	509	509
Fri Nov 12 17:01:51 2021	1636707711	0	510	510	510
Fri Nov 12 17:01:44 2021	1636707704	0	512	512	511
Fri Nov 12 17:01:50 2021	1636707710	0	513	513	512
Fri Nov 12 17:01:36 2021	1636707696	0	513	513	512
Fri Nov 12 17:01:40 2021	1636707700	0	513	514	511
Fri Nov 12 17:01:33 2021	1636707693	0	514	514	514
Fri Nov 12 17:01:37 2021	1636707697	0	514	514	514
Fri Nov 12 17:01:35 2021	1636707695	0	514	514	514
Fri Nov 12 17:01:49 2021	1636707709	0	515	515	514
Fri Nov 12 17:01:37 2021	1636707697	0	516	516	515
Fri Nov 12 17:01:32 2021	1636707692	0	516	516	515
Fri Nov 12 17:01:37 2021	1636707697	0	517	517	422
Fri Nov 12 17:01:39 2021	1636707699	0	518	518	517
Fri Nov 12 17:01:37 2021	1636707697	0	518	519	494
Fri Nov 12 17:01:50 2021	1636707710	0	519	519	519
Fri Nov 12 17:01:44 2021	1636707704	0	519	519	518
Fri Nov 12 17:01:41 2021	1636707701	0	520	520	519
Fri Nov 12 17:01:34 2021	1636707694	0	521	521	520
Fri Nov 12 17:01:32 2021	1636707692	5	517	523	516
Fri Nov 12 17:01:32 2021	1636707692	0	523	523	522
Fri Nov 12 17:01:51 2021	1636707711	0	524	524	523
Fri Nov 12 17:01:37 2021	1636707697	0	525	525	479
Fri Nov 12 17:01:32 2021	1636707692	0	526	526	524
Fri Nov 12 17:01:38 2021	1636707698	0	527	527	527
Fri Nov 12 17:01:38 2021	1636707698	0	527	527	526
Fri Nov 12 17:01:49 2021	1636707709	0	527	527	527
Fri Nov 12 17:01:32 2021	1636707692	6	522	528	522
Fri Nov 12 17:01:51 2021	1636707711	0	529	529	528
Fri Nov 12 17:01:49 2021	1636707709	0	529	529	528
Fri Nov 12 17:01:34 2021	1636707694	0	529	529	526
